,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
civil servants,84.0,76.0,70.0,95.0,128.0,180.0,283.0,112.0,49.0,161.0
guitarists,66.0,87.0,62.0,85.0,146.0,151.0,287.0,88.0,69.0,159.0
linguists,73.0,76.0,64.0,86.0,118.0,182.0,266.0,100.0,49.0,144.0
laborers,77.0,67.0,65.0,90.0,127.0,177.0,277.0,107.0,53.0,147.0
historians,61.0,85.0,54.0,74.0,131.0,170.0,268.0,88.0,60.0,157.0
chemists,53.0,86.0,57.0,60.0,137.0,121.0,299.0,68.0,55.0,172.0
pensioners,62.0,68.0,49.0,74.0,116.0,152.0,265.0,108.0,48.0,142.0
performing artists,46.0,94.0,47.0,61.0,156.0,125.0,301.0,67.0,77.0,159.0
singers,60.0,91.0,59.0,77.0,152.0,148.0,285.0,80.0,78.0,154.0
secretaries,71.0,93.0,69.0,88.0,139.0,170.0,281.0,103.0,62.0,156.0
auditors,78.0,91.0,64.0,84.0,135.0,166.0,307.0,101.0,48.0,183.0
counselors,54.0,88.0,46.0,61.0,136.0,115.0,297.0,72.0,56.0,165.0
dentists,72.0,96.0,72.0,78.0,144.0,158.0,305.0,98.0,57.0,176.0
analysts,62.0,79.0,54.0,64.0,120.0,161.0,287.0,86.0,50.0,167.0
nurses,66.0,93.0,64.0,86.0,146.0,158.0,307.0,97.0,66.0,170.0
waiters,76.0,86.0,68.0,79.0,140.0,167.0,262.0,109.0,58.0,145.0
authors,57.0,87.0,55.0,72.0,148.0,148.0,288.0,83.0,73.0,166.0
architects,59.0,95.0,52.0,72.0,144.0,148.0,316.0,84.0,65.0,172.0
academics,72.0,75.0,60.0,81.0,124.0,173.0,289.0,96.0,53.0,160.0
directors,77.0,83.0,66.0,89.0,125.0,170.0,270.0,97.0,58.0,151.0
illustrators,51.0,93.0,49.0,66.0,150.0,132.0,297.0,78.0,68.0,160.0
clerks,58.0,90.0,56.0,72.0,133.0,139.0,279.0,78.0,62.0,156.0
photographers,48.0,90.0,50.0,64.0,155.0,130.0,312.0,80.0,69.0,175.0
cleaners,63.0,90.0,57.0,63.0,140.0,129.0,301.0,78.0,50.0,167.0
composers,63.0,96.0,57.0,82.0,154.0,144.0,298.0,80.0,83.0,168.0
pharmacists,67.0,79.0,66.0,78.0,123.0,159.0,283.0,86.0,51.0,156.0
sociologists,68.0,77.0,63.0,81.0,114.0,169.0,265.0,92.0,56.0,147.0
journalists,84.0,77.0,74.0,95.0,127.0,189.0,274.0,112.0,55.0,155.0
guards,58.0,77.0,54.0,74.0,122.0,134.0,264.0,79.0,48.0,142.0
actors,74.0,93.0,73.0,87.0,155.0,167.0,289.0,92.0,75.0,167.0
midwives,47.0,95.0,54.0,59.0,153.0,138.0,267.0,74.0,66.0,145.0
sheriffs,80.0,81.0,74.0,91.0,118.0,193.0,259.0,111.0,45.0,140.0
editors,74.0,85.0,65.0,82.0,132.0,163.0,277.0,98.0,59.0,154.0
designers,58.0,96.0,54.0,68.0,158.0,141.0,304.0,83.0,71.0,167.0
judges,79.0,95.0,68.0,79.0,136.0,169.0,290.0,89.0,60.0,180.0
poets,72.0,90.0,73.0,91.0,146.0,185.0,270.0,100.0,72.0,144.0
maids,64.0,91.0,67.0,82.0,162.0,152.0,275.0,87.0,70.0,153.0
