anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
48.0,62.0,33.0,69.0,67.0,170.0,231.0,84.0,27.0,103.0
50.0,50.0,34.0,65.0,50.0,194.0,204.0,88.0,20.0,94.0
45.0,59.0,36.0,63.0,68.0,169.0,220.0,95.0,14.0,112.0
52.0,34.0,36.0,64.0,46.0,182.0,194.0,87.0,23.0,83.0
58.0,51.0,40.0,88.0,52.0,214.0,208.0,98.0,20.0,97.0
52.0,63.0,37.0,68.0,70.0,160.0,207.0,102.0,12.0,93.0
41.0,59.0,28.0,56.0,63.0,155.0,237.0,90.0,22.0,91.0
45.0,69.0,34.0,61.0,82.0,157.0,250.0,83.0,29.0,111.0
43.0,52.0,36.0,54.0,54.0,159.0,223.0,84.0,17.0,105.0
40.0,75.0,25.0,70.0,80.0,170.0,244.0,87.0,22.0,102.0
44.0,55.0,30.0,51.0,61.0,155.0,239.0,81.0,16.0,107.0
47.0,65.0,34.0,61.0,58.0,168.0,227.0,85.0,15.0,114.0
50.0,58.0,33.0,66.0,56.0,190.0,229.0,91.0,19.0,105.0
42.0,66.0,32.0,61.0,56.0,165.0,213.0,83.0,15.0,97.0
35.0,60.0,32.0,56.0,39.0,173.0,194.0,73.0,16.0,94.0
43.0,55.0,27.0,58.0,60.0,159.0,236.0,85.0,27.0,98.0
46.0,61.0,35.0,62.0,58.0,174.0,232.0,84.0,24.0,100.0
50.0,53.0,38.0,63.0,49.0,180.0,211.0,94.0,16.0,90.0
46.0,61.0,32.0,65.0,57.0,177.0,223.0,89.0,19.0,87.0
37.0,75.0,29.0,60.0,100.0,160.0,281.0,78.0,30.0,110.0
51.0,53.0,41.0,71.0,52.0,190.0,215.0,89.0,15.0,102.0
44.0,65.0,31.0,53.0,86.0,152.0,252.0,74.0,30.0,109.0
38.0,63.0,35.0,50.0,62.0,155.0,233.0,71.0,20.0,112.0
43.0,59.0,30.0,57.0,61.0,170.0,238.0,85.0,27.0,94.0
47.0,67.0,33.0,60.0,56.0,185.0,232.0,87.0,13.0,128.0
53.0,51.0,40.0,67.0,44.0,191.0,202.0,95.0,18.0,85.0
51.0,60.0,35.0,67.0,53.0,188.0,216.0,92.0,14.0,100.0
47.0,57.0,31.0,59.0,46.0,165.0,201.0,87.0,15.0,99.0
42.0,55.0,30.0,62.0,65.0,146.0,235.0,82.0,23.0,98.0
42.0,58.0,32.0,53.0,82.0,164.0,246.0,87.0,25.0,125.0
52.0,53.0,38.0,76.0,57.0,200.0,206.0,86.0,22.0,100.0
46.0,56.0,36.0,60.0,48.0,180.0,203.0,89.0,15.0,95.0
46.0,64.0,30.0,63.0,71.0,162.0,258.0,81.0,25.0,104.0
50.0,54.0,31.0,69.0,53.0,185.0,219.0,90.0,21.0,105.0
47.0,51.0,33.0,62.0,60.0,183.0,211.0,94.0,25.0,91.0
39.0,51.0,35.0,52.0,61.0,179.0,166.0,100.0,17.0,99.0
