anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
27.0,39.0,30.0,36.0,23.0,52.0,70.0,37.0,44.0,56.0
35.0,30.0,19.0,44.0,17.0,65.0,63.0,37.0,32.0,48.0
24.0,42.0,21.0,39.0,23.0,48.0,76.0,39.0,41.0,57.0
26.0,30.0,16.0,38.0,17.0,62.0,65.0,33.0,30.0,51.0
24.0,32.0,18.0,39.0,15.0,58.0,68.0,35.0,32.0,56.0
34.0,42.0,20.0,39.0,19.0,48.0,72.0,36.0,39.0,53.0
27.0,41.0,23.0,42.0,21.0,51.0,73.0,41.0,48.0,54.0
24.0,41.0,22.0,40.0,22.0,49.0,69.0,37.0,47.0,53.0
33.0,36.0,25.0,39.0,27.0,60.0,75.0,41.0,41.0,70.0
30.0,29.0,26.0,43.0,12.0,49.0,60.0,33.0,37.0,56.0
29.0,34.0,23.0,43.0,16.0,54.0,77.0,37.0,35.0,62.0
31.0,45.0,22.0,46.0,28.0,58.0,81.0,40.0,39.0,64.0
34.0,31.0,22.0,37.0,19.0,59.0,73.0,33.0,34.0,60.0
33.0,40.0,27.0,32.0,24.0,43.0,67.0,38.0,43.0,54.0
22.0,44.0,24.0,42.0,29.0,50.0,76.0,39.0,47.0,58.0
32.0,35.0,23.0,43.0,20.0,58.0,72.0,39.0,44.0,59.0
28.0,36.0,24.0,44.0,19.0,55.0,76.0,40.0,46.0,62.0
33.0,35.0,19.0,44.0,15.0,57.0,63.0,35.0,39.0,46.0
36.0,38.0,25.0,48.0,18.0,60.0,73.0,42.0,37.0,63.0
21.0,45.0,22.0,39.0,26.0,49.0,74.0,40.0,45.0,58.0
29.0,42.0,18.0,44.0,18.0,49.0,73.0,40.0,32.0,55.0
24.0,41.0,23.0,42.0,22.0,52.0,68.0,38.0,44.0,52.0
27.0,43.0,24.0,44.0,23.0,53.0,72.0,39.0,39.0,63.0
21.0,34.0,25.0,38.0,21.0,51.0,69.0,33.0,47.0,63.0
31.0,46.0,20.0,45.0,26.0,52.0,78.0,36.0,39.0,61.0
34.0,30.0,17.0,41.0,14.0,58.0,58.0,36.0,32.0,46.0
29.0,39.0,19.0,38.0,19.0,52.0,70.0,37.0,35.0,47.0
25.0,42.0,25.0,41.0,22.0,51.0,62.0,38.0,42.0,56.0
27.0,36.0,22.0,38.0,17.0,48.0,69.0,38.0,42.0,49.0
25.0,35.0,33.0,33.0,23.0,52.0,57.0,37.0,44.0,61.0
27.0,41.0,29.0,32.0,25.0,43.0,66.0,37.0,44.0,60.0
29.0,42.0,23.0,43.0,23.0,56.0,74.0,36.0,39.0,54.0
34.0,42.0,28.0,36.0,21.0,42.0,85.0,36.0,51.0,64.0
35.0,28.0,19.0,43.0,11.0,61.0,59.0,34.0,29.0,43.0
25.0,36.0,25.0,35.0,20.0,53.0,65.0,38.0,46.0,59.0
26.0,33.0,26.0,28.0,20.0,38.0,57.0,35.0,38.0,53.0
