anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
56.0,63.0,44.0,73.0,71.0,182.0,208.0,92.0,17.0,102.0
50.0,44.0,33.0,67.0,55.0,167.0,213.0,88.0,25.0,85.0
52.0,44.0,40.0,70.0,56.0,180.0,203.0,101.0,22.0,97.0
53.0,46.0,40.0,68.0,63.0,183.0,184.0,84.0,22.0,80.0
54.0,63.0,40.0,76.0,69.0,175.0,226.0,94.0,19.0,107.0
58.0,46.0,42.0,76.0,56.0,182.0,194.0,95.0,20.0,89.0
55.0,42.0,41.0,81.0,53.0,186.0,180.0,104.0,18.0,80.0
48.0,45.0,38.0,75.0,60.0,190.0,208.0,92.0,26.0,95.0
46.0,48.0,38.0,73.0,64.0,189.0,196.0,89.0,26.0,101.0
46.0,52.0,35.0,70.0,67.0,181.0,213.0,95.0,19.0,114.0
50.0,42.0,36.0,76.0,75.0,199.0,235.0,105.0,21.0,103.0
45.0,42.0,41.0,74.0,73.0,185.0,228.0,88.0,24.0,105.0
47.0,50.0,37.0,56.0,87.0,127.0,242.0,70.0,23.0,103.0
60.0,55.0,42.0,83.0,60.0,203.0,203.0,98.0,17.0,95.0
55.0,45.0,42.0,76.0,57.0,189.0,202.0,96.0,21.0,90.0
55.0,49.0,39.0,71.0,59.0,172.0,200.0,99.0,15.0,93.0
58.0,54.0,43.0,71.0,62.0,182.0,218.0,96.0,19.0,98.0
52.0,56.0,42.0,77.0,72.0,184.0,225.0,93.0,23.0,107.0
60.0,46.0,39.0,77.0,78.0,192.0,237.0,108.0,18.0,110.0
