anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
49.0,46.0,41.0,50.0,71.0,121.0,158.0,63.0,22.0,75.0
48.0,45.0,30.0,46.0,63.0,109.0,153.0,56.0,24.0,70.0
49.0,42.0,40.0,52.0,62.0,129.0,150.0,62.0,24.0,69.0
41.0,37.0,33.0,51.0,55.0,125.0,128.0,60.0,21.0,60.0
47.0,51.0,37.0,52.0,68.0,118.0,165.0,65.0,21.0,78.0
47.0,37.0,37.0,50.0,60.0,124.0,149.0,61.0,25.0,71.0
45.0,34.0,38.0,56.0,53.0,130.0,124.0,70.0,21.0,61.0
44.0,38.0,39.0,56.0,60.0,131.0,152.0,62.0,28.0,71.0
48.0,40.0,40.0,51.0,62.0,129.0,147.0,59.0,26.0,70.0
47.0,40.0,39.0,49.0,60.0,124.0,148.0,65.0,26.0,81.0
52.0,40.0,48.0,62.0,78.0,149.0,194.0,83.0,33.0,94.0
41.0,34.0,39.0,56.0,80.0,123.0,178.0,60.0,30.0,84.0
32.0,36.0,20.0,33.0,80.0,89.0,180.0,48.0,20.0,67.0
60.0,48.0,43.0,60.0,62.0,146.0,151.0,74.0,23.0,73.0
50.0,39.0,44.0,55.0,54.0,133.0,147.0,68.0,27.0,69.0
48.0,40.0,38.0,50.0,53.0,122.0,143.0,70.0,17.0,66.0
50.0,44.0,40.0,53.0,70.0,123.0,161.0,65.0,23.0,75.0
49.0,49.0,39.0,59.0,75.0,130.0,162.0,67.0,30.0,78.0
59.0,45.0,48.0,57.0,76.0,144.0,193.0,84.0,31.0,97.0
