anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
43.0,35.0,39.0,50.0,43.0,142.0,198.0,52.0,22.0,80.0
37.0,37.0,42.0,47.0,45.0,139.0,200.0,53.0,24.0,83.0
26.0,43.0,41.0,33.0,48.0,131.0,216.0,53.0,35.0,80.0
38.0,30.0,37.0,52.0,39.0,145.0,194.0,56.0,21.0,77.0
55.0,64.0,57.0,60.0,106.0,189.0,269.0,88.0,34.0,93.0
30.0,38.0,43.0,42.0,52.0,131.0,224.0,50.0,24.0,91.0
30.0,42.0,31.0,39.0,54.0,118.0,222.0,49.0,28.0,82.0
32.0,27.0,30.0,43.0,39.0,124.0,203.0,49.0,24.0,67.0
27.0,38.0,38.0,34.0,48.0,120.0,229.0,41.0,31.0,90.0
34.0,33.0,31.0,46.0,52.0,122.0,222.0,50.0,21.0,78.0
37.0,54.0,41.0,47.0,61.0,132.0,219.0,54.0,29.0,88.0
28.0,41.0,35.0,37.0,51.0,130.0,203.0,48.0,24.0,82.0
34.0,48.0,32.0,33.0,56.0,108.0,222.0,43.0,22.0,76.0
39.0,49.0,39.0,47.0,56.0,128.0,214.0,52.0,26.0,86.0
51.0,29.0,44.0,40.0,30.0,148.0,175.0,56.0,29.0,70.0
31.0,35.0,37.0,38.0,40.0,134.0,186.0,57.0,29.0,69.0
35.0,34.0,35.0,42.0,42.0,123.0,209.0,48.0,26.0,82.0
34.0,33.0,27.0,38.0,39.0,115.0,208.0,50.0,29.0,72.0
47.0,28.0,43.0,51.0,35.0,147.0,190.0,55.0,21.0,75.0
